user	spName	traffic	times
03ca4488	bdimg		140431	26
03ca4488	montemet		1314	1
0406d206	admob		81250	3
0406d206	apple		9396	10
0406d206	changba		388097	14
0406d206	dodur		7172	6
0406d206	doubleclick		175911	11
0406d206	google		11878	9
0406d206	iask		2232	2
0406d206	lrc123		4908	1
0406d206	monternet		1310	1
0406d206	qlogo		11223	2
0406d206	qq		869147	160
0406d206	sina		468958	78
0406d206	sinaimg		146749	17
0406d206	umeng		21042	12
04db5cb2	meitu		12955	6
04db5cb2	meitudata		66883	4
04db5cb2	qq		39011	1
04db5cb2	sina		221113	19
04db5cb2	sinaimg		42382	7
04db5cb2	taobao		303005	84
04db5cb2	taobaocdn		421986	19
04db5cb2	umeng		3108	1
04f887a1	apple		2206	1
04f887a1	yahooapis		4014	1
0517c806	126		5801689	2
0517c806	163		252986	14
0517c806	apple		3388	1
0517c806	eamobile		11418	3
0517c806	fluentmobile		7176	5
0517c806	flurry		3424	2
0517c806	ijinshan		4096	3
0517c806	kuwo		74511	12
0517c806	sogou		37197	1
05435c92	qlogo		10151	1
05435c92	qq		315233	62
05435c92	qzoneapp		42537	14
05435c92	sina		185745	25
05435c92	sinaimg		60257	7
05435c92	uc		4322	1
05435c92	ucweb		134373	8
05435c92	yahooapis		2240	1
05619f4f	admob		1472	1
05619f4f	apple		7290	1
05619f4f	edgesuite		824322	1
05619f4f	flurry		13516	8
05619f4f	itunes		1300	1
05619f4f	mopub		3280	5
05619f4f	mzstatic		14148	2
05619f4f	playrix		1518	1
05619f4f	qlogo		4098	1
05619f4f	qq		814245	89
05619f4f	tapjoyads		158210	7
05619f4f	trinitigame		10456	6
05619f4f	verisign		32758	12
05619f4f	xmg		27988	5
05619f4f	xmgames		53718	7
05619f4f	zifei		2409	1
057b89de	baidu		476928	147
057b89de	baidu-2img		2275791	124
057b89de	baidu-img		163286	62
057b89de	moji001		33884	5
057b89de	uc		120	1
057b89de	ucweb		24645	6
05843ed0	10086		11614	2
05843ed0	baidu		471873	75
05843ed0	baidu-2img		248889	56
05843ed0	baidu-img		19414	5
05843ed0	mediav		0	1
05843ed0	sddcp		0	7
05843ed0	yuncheng		0	17
067274e5	apple		56365	2
067274e5	qlogo		472366	33
067274e5	qpic		442697	12
067274e5	qq		463179	54
067274e5	yahooapis		2075	1
0675061f	360		2510	2
0675061f	gtimg		8064	2
0675061f	qlogo		21683	1
0675061f	qq		269797	38
067f1aad	3g		2275	2
067f1aad	dianxinos		3894	1
067f1aad	dxsvr		1259	1
067f1aad	gpsonextra		44739	1
067f1aad	moji001		2555	1
067f1aad	ttpod		1476	1
067f1aad	umeng		5659	4
06963381	apple		34972	8
06963381	google		6469	2
06963381	qq		115812	19
06963381	sina		49296	10
06963381	sinaimg		26098	1
06963381	verisign		17320	6
06963381	wochacha		370463	43
06963381	wooga		12866	7
06963381	woogamops		2616	2
06bc7f7a	monternet		1266	1
06d2d022	baidu		190078	49
06d2d022	baidu-2img		3296	1
06d2d022	gpsonextra		44723	1
06d2d022	gtimg		36775	5
06d2d022	i139		4680	1
06d2d022	kaiqi		5477	1
06d2d022	qlogo		36007	4
06d2d022	qpic		217679	12
06d2d022	qq		558664	84
06d2d022	sina		13313	2
06d2d022	soso		6542	2
06d2d022	uc		6826	2
06d2d022	ucweb		66122	5
06d2d022	voicecloud		12909	7
06d6973c	baidu		50991	11
06d6973c	google-analytics		19217	1
06d6973c	monternet		1157	1
06d6973c	sonyericsson		1590	1
06d6973c	sonymobile		33283	3
07326ac4	56		83656	4
07326ac4	admob		38482	8
07326ac4	adsage		66483	20
07326ac4	adsmogo		32019	27
07326ac4	ddmap		11489	7
07326ac4	ddmapimg		81489	3
07326ac4	doubleclick		116342	8
07326ac4	edgesuite		62925	1
07326ac4	google		11105	1
