user	spName	traffic	times
1791ea1a	cardcmb		372398	29
1791ea1a	cmbchina		4539	2
1791ea1a	egooad		38053	8
1791ea1a	fruitninja		7745	1
1791ea1a	google		392445	64
1791ea1a	google-analytics		35685	13
1791ea1a	gtimg		54065	18
1791ea1a	mnwan		5441	2
1791ea1a	mobclix		55539	61
1791ea1a	monternet		1318	1
1791ea1a	my285		226914	51
1791ea1a	qlogo		129019	34
1791ea1a	qpic		6009177	124
1791ea1a	qq		2809298	485
1791ea1a	rayfile		0	1
1791ea1a	tdimg		9924	3
1791ea1a	tencent		1227	1
1791ea1a	wradio		0	2
1791ea1a	xdwan		2046	1
1791ea1a	yahooapis		21735	4
1791ea1a	zhonghuahun		0	1
1791ea1a	zx915		24399	6
17c66dc9	360		1137	1
17c66dc9	91		191670	13
17c66dc9	91huo		57136	4
17c66dc9	91rb		783677	46
17c66dc9	apple		15235	2
17c66dc9	flurry		12620	5
17c66dc9	localytics		3312	2
17c66dc9	verisign		13951	4
17c66dc9	yahooapis		362691	163
1894ad89	91		21319	8
1894ad89	91rb		169223	5
1894ad89	baidu		15471	5
1894ad89	qlogo		165683	7
1894ad89	qpic		79864	10
1894ad89	qq		623139	84
1894ad89	rrimg		32943	5
1894ad89	sina		358413	56
1894ad89	sinaimg		6886	1
1894ad89	tdimg		9414	1
18f41944	apple		0	2
197c7dfa	baidu		3570	2
19d81c0b	10086		3625	1
19d81c0b	alipay		10301	1
19d81c0b	edgesuite		61547	1
19d81c0b	flurry		6100	2
19d81c0b	fresh-ideas		152595	151
19d81c0b	google-analytics		5692	1
19d81c0b	ijinshan		196683	124
19d81c0b	itunes		1332	1
19d81c0b	qpic		58704	5
19d81c0b	qq		116906	12
19d81c0b	sina		40765	4
19d81c0b	skype		3174	2
19d81c0b	taobao		151819	19
19d81c0b	taobaocdn		73618	2
19d81c0b	umeng		6364	2
19d81c0b	verisign		8819	2
1a84b070	91		50307	29
1a84b070	91rb		0	1
1a84b070	cnzz		0	2
1a84b070	dianping		1940	1
1a84b070	doozii		5818	3
1a84b070	go2map		726803	23
1a84b070	gov		0	1
1a84b070	gtimg		2298	2
1a84b070	kakamobi		0	3
1a84b070	lbs		7474	4
1a84b070	monternet		1159	1
1a84b070	pekall		100874	48
1a84b070	qlogo		3437787	1075
1a84b070	qpic		3974257	117
1a84b070	qq		51033	8
1a84b070	uc		49041	10
1a84b070	ucweb		159347	12
1b291bb8	apple		78540	6
1b291bb8	flurry		103447	10
1b291bb8	localytics		4706	2
1b291bb8	monternet		1268	1
1b291bb8	qlogo		9157	1
1b291bb8	qpic		16296	3
1b291bb8	qq		6189	5
1b291bb8	sina		34970	6
1b291bb8	sinaimg		12990	8
1b291bb8	verisign		17068	13
1b57ee98	baidu		1629	1
1b57ee98	kuwo		6935	3
1b57ee98	lengxiaohua		2389416	87
1b57ee98	qpic		24656	1
1b57ee98	qq		283563	33
1b57ee98	umeng		1571	1
1b6d9f2a	apple		22962	17
1b6d9f2a	google		6554	5
1b6d9f2a	mail-dp04		1380	1
1b6d9f2a	qq		45315	13
1b6d9f2a	taobao		7167807	599
1b6d9f2a	taobaocdn		471358	24
1b6d9f2a	tbcdn		257587	22
1b6d9f2a	tmall		58927	17
1b6d9f2a	uc		119285	19
1b6d9f2a	ucweb		4992	2
1bafaa35	163		123853	140
1bafaa35	3gogo		90490	15
1bafaa35	google		18205	9
1bafaa35	monternet		2302	2
1c55940f	360		47110	21
1c55940f	adsage		1329297	400
1c55940f	adsmogo		82642	66
1c55940f	apple		560537	114
1c55940f	edgesuite		63156	1
1c55940f	flurry		1169961	14
1c55940f	gameloft		153467	29
1c55940f	inmobi		10364	4
1c55940f	itunes		1606	1
1c55940f	miaozhen		65471	42
1c55940f	mobmore		88708	1
1c55940f	modmyi		1408105	5
1c55940f	mzstatic		25858	31
1c55940f	pubsage		326675	2
1c55940f	qlogo		293473	30
1c55940f	qpic		33426	5
1c55940f	qq		664745	24
1c55940f	saurik		56386	17
1c55940f	sina		1454	1
1c55940f	suizong		64426	16
1c55940f	thebigboss		237334	6
1c55940f	tongbu		867624	60
1c55940f	ultrasn0w		8903	7
1c55940f	yahooapis		7574	1
1c55940f	zodttd		1561722	5
1c8344e3	adsage		36829	11
1c8344e3	apple		13191	3
1c8344e3	fluentmobile		7560	6
1c8344e3	google		1818517	18
1c8344e3	popcap		4900	1
1c8344e3	pubsage		742822	4
1c8344e3	qlogo		8243	1
1c8344e3	qq		138816	15
1c8344e3	softnotsoft		1313	1
1c8344e3	taobao		85690	37
1c8344e3	taobaocdn		429354	11
1c8344e3	tmall		14066	4
1c8344e3	yahooapis		117541	48
1cd15e62	edgesuite		35309	1
1cd15e62	itunes		1300	1
1cd15e62	monternet		2562	3
1cd15e62	qlogo		9045	2
1cd15e62	qq		2906	2
1d78e276	360		1664	1
1d78e276	moji001		59505	13
1d78e276	monternet		3276	2
1d78e276	sogou		229952	30
1d78e276	uc		27631	1
1d78e276	ucweb		176153	30
1d9648e6	360		1136	1
1d9648e6	appads		18568	9
1d9648e6	apple		109358	5
1d9648e6	cloudfront		32900	3
1d9648e6	edgesuite		62768	1
1d9648e6	flurry		5392	4
1d9648e6	itunes		1377	1
1d9648e6	sogou		14358	1
1d9648e6	uc		6532	2
1d9648e6	ucweb		11314	2
1d9648e6	wacai		3001	1
1d9648e6	yahooapis		11925	3
1e1c6c21	163		32215	5
1e1c6c21	changba		216255	19
1e1c6c21	google		1659	1
1e1c6c21	google-analytics		21166	2
1e1c6c21	monternet		1266	1
1e1c6c21	netease		2607	1
1e1c6c21	sina		101423	30
1e1c6c21	sinaimg		22056	3
1e1c6c21	uc		8838	4
1e1c6c21	umeng		7162	4
1e1c6c21	wochacha		0	2
1e63bcf8	gtimg		13875	3
1e63bcf8	qlogo		933893	78
1e63bcf8	qpic		22828	1
1e63bcf8	qq		770122	77
1e63bcf8	rrimg		52746	1
1e63bcf8	tencent		6775	1
1eb82565	apple		57002	1
1eb82565	flurry		2614	2
1eb82565	ijinshan		1661	1
1eb82565	uc		5942	2
1eb82565	ucweb		245058	24
1eb91f4b	admsg		120176	7
1eb91f4b	baidu		46737	22
1eb91f4b	doozii		16652	8
1eb91f4b	doumob		47428	9
1eb91f4b	gtimg		7788	3
1eb91f4b	jiepang		199794	135
1eb91f4b	mobeehome		0	1
1eb91f4b	noticemob		1337	1
1eb91f4b	qlogo		6435	1
1eb91f4b	qpic		53413	8
1eb91f4b	qq		34095	18
1eb91f4b	renren		1674	1
1eb91f4b	sinaimg		7112	2
1eb91f4b	wandoujia		5947	7
1f2a1a58	61		9662	6
1f2a1a58	7thg		2763	3
1f2a1a58	adwhirl		9554	10
1f2a1a58	apple		96025	16
1f2a1a58	capcomcanada		182579	59
1f2a1a58	flurry		11004	4
1f2a1a58	qlogo		209707	21
1f2a1a58	qpic		123920	7
1f2a1a58	qq		372625	58
1f2a1a58	rackspacecloud		383124	4
1f2a1a58	sohu		1939282	40
1f2a1a58	yahooapis		3928	1
1f998892	56		29055	4
1f998892	apple		60638	10
1f998892	baidu		277719	33
1f998892	dangdang		38664	8
1f998892	ddimg		1557924	48
1f998892	ku6img		6579	1
1f998892	qq		2306	2
1f998892	renren		23098	2
1f998892	rrimg		536884	27
1f998892	tdimg		6643	1
1f998892	umeng		4901	1
1fc5a91c	sina		1197605	184
1fc5a91c	sinaimg		114131	13
206856c4	126		2384	1
206856c4	163		154788	24
206856c4	apple		60743	2
206856c4	edgesuite		62581	1
206856c4	itunes		1345	1
206856c4	netease		9332	3
206856c4	sina		2856776	289
206856c4	sinaimg		718069	62
206856c4	uc		49135	15
206856c4	ucweb		203496	11
22645cb1	91		4411	2
22645cb1	baidu		34508	7
22645cb1	baidu-2img		9506	3
22645cb1	uc		41816	8
22645cb1	ucweb		93232	5
22645cb1	yahooapis		2071	1
22c608fe	apple		3387	1
22c608fe	bitesms		0	1
22c608fe	clover		43039	9
22c608fe	custom-radar		0	3
22c608fe	dodur		3546	3
22c608fe	edgesuite		62989	1
22c608fe	google-analytics		19050	3
22c608fe	itunes		1332	1
22c608fe	qlogo		8587	1
22c608fe	qq		39849	16
22c608fe	sina		669045	107
22c608fe	sinaimg		123610	20
22cc64a3	apple		2996	1
22cc64a3	flurry		26263	10
22cc64a3	google		2156922	86
22e7f965	10086		3895	2
22e7f965	apple		2080	1
22e7f965	edgesuite		71081	1
22e7f965	itunes		1305	1
22e7f965	monternet		2520	2
22e7f965	qlogo		11520	2
22e7f965	qpic		5761	1
22e7f965	qq		168547	38
22e7f965	sina		2331737	202
22e7f965	sinaimg		28192	2
238f7333	10086		14015	2
238f7333	91		4901	3
238f7333	baidu		36210	8
238f7333	monternet		1162	1
238f7333	renren		23041	3
238f7333	sina		1935779	131
238f7333	sinaimg		174327	8
238f7333	uc		139642	64
238f7333	ucweb		98438	14
241fd0f3	360		3637	3
241fd0f3	apple		7372	1
241fd0f3	edgesuite		42703	1
241fd0f3	itunes		1337	1
241fd0f3	monternet		1268	1
241fd0f3	qq		2594	2
24640e4c	51ipapxl		48650	27
24640e4c	91		1212501	181
24640e4c	91huo		2152	1
24640e4c	91rb		25286228	404
24640e4c	cnzz		146863	41
24640e4c	doplive		1075477	23
24640e4c	dopool		7783	3
24640e4c	google-analytics		14864	8
24640e4c	gtimg		20214	5
24640e4c	qlogo		954780	72
24640e4c	qpic		1061704	28
24640e4c	qq		1134198	203
24640e4c	soso		40477	4
246f07d3	apple		13382	2
246f07d3	qpic		53406	10
246f07d3	qq		39081	1
24bdf0a3	apple		53445	1
24bdf0a3	baidu		12968	2
24bdf0a3	iask		60034	4
24bdf0a3	ifeng		11330	9
24bdf0a3	sina		988760	129
24bdf0a3	uc		4798	2
24bdf0a3	ucfly		7042	4
24bdf0a3	ucweb		330813	50
24f925b7	61		3173	2
24f925b7	apple		40050	7
24f925b7	flurry		1959	1
24f925b7	gameloft		51863	35
24f925b7	yahooapis		10820	2
2509981f	10086		46721	3
2509981f	sina		18455	2
2509981f	sinaimg		14050	7
252ef650	google		2489	1
252ef650	monternet		2296	3
25422a51	163		67730	74
25422a51	gtimg		2696	3
25422a51	mafengwoo		1383	6
25422a51	meituan		1518	1
25422a51	moji001		4759	2
25422a51	qq		42494	9
25422a51	rrimg		0	1
25422a51	ucweb		342810	39
25422a51	umeng		8271	6
25422a51	wandoujia		2443	3
25422a51	wapx		15454	9
25422a51	zdworks		6070	5
256f5d4f	monternet		1764	1
256f5d4f	qlogo		29335	5
256f5d4f	qpic		47209	7
256f5d4f	qq		114077	22
258a8891	aicall800		1177	1
258a8891	baidu		2195366	200
258a8891	baidu-1img		104661	14
258a8891	baidu-2img		3206908	492
258a8891	baidu-img		298290	71
258a8891	gtimg		2155	1
258a8891	qq		58831	10
258a8891	sina		6026	1
258a8891	spbtraveler		9500	10
266f952a	apple		53285	1
266f952a	emoney		7731	2
266f952a	monternet		5220	4
266f952a	qpic		113977	14
266f952a	qq		14847	6
274de858	10086		23084	7
274de858	apple		65120	3
274de858	baidu		1849169	94
274de858	monternet		3936	3
274de858	qlogo		249899	19
274de858	qpic		683340	49
274de858	qq		331597	38
274de858	sina		842402	83
274de858	sinaimg		443476	32
274de858	verisign		2563	1
274de858	yahoo		1920	1
278237b3	7thg		4892	5
278237b3	adwhirl		5408	6
278237b3	google		43583	3
278237b3	meitu		7921	5
278237b3	meitudata		62200	4
278237b3	qlogo		13129	2
278237b3	qpic		125233	5
278237b3	qq		262724	31
278237b3	qwapi		12183	1
278237b3	sina		847890	60
278237b3	sinaimg		171051	23
278237b3	umeng		1576	1
2813153c	baidu		34610	8
2813153c	baidu-2img		501164	75
2813153c	baidu-img		78871	7
2813153c	i139		6489	1
2813153c	monternet		29497	4
291ddf67	360buy		80081	11
291ddf67	360buyimg		136004	4
291ddf67	qq		255446	7
291f9a41	sina		2279	2
291f9a41	sinaimg		24176	1
291f9a41	taobao		81871	30
291f9a41	taobaocdn		121777	2
2981161b	appads		233971	22
2981161b	apple		63115	8
2981161b	baidu		1752803	189
2981161b	baidu-2img		11435	2
2981161b	baidu-3img		6850	1
2981161b	duowan		106238	4
2981161b	edgesuite		14300	1
2981161b	fluentmobile		5701	3
2981161b	flurry		1414	1
2981161b	gamecircus		19246	13
2981161b	google		1379543	57
2981161b	itunes		1425	1
2981161b	j2play		1595	1
2981161b	limasky		4844	2
2981161b	meitu		5489	5
2981161b	meitudata		62594	4
2981161b	playhaven		184559	8
2981161b	qq		139574	28
2981161b	umeng		1566	1
2981161b	yy		29381	12
29dc8d28	91		6485	1
29dc8d28	monternet		1304	1
29dc8d28	mzstatic		695	1
29dc8d28	uc		270959	6
29dc8d28	ucweb		355703	14
29dc8d28	waptw		6554	1
2a44765a	126		274321	2
2a44765a	163		813326	48
2a44765a	qlogo		107425	8
2a44765a	qq		92965	35
2beff8f1	admob		7949	4
2beff8f1	meitu		10060	6
2beff8f1	meitudata		63399	5
2beff8f1	monternet		2674	2
2beff8f1	rrimg		119888	9
2beff8f1	sina		336649	19
2beff8f1	sinaimg		38822	6
2beff8f1	umeng		5741	5
2beff8f1	xnpic		18776	1
2beff8f1	ykimg		4422	1
2c5af040	17c		82929	15
2c5af040	animoca		860	1
2c5af040	apple		14908	2
2c5af040	boyaa		3857	3
2c5af040	capcomcanada		58851	27
2c5af040	edgesuite		0	1
2c5af040	flurry		28613	4
2c5af040	itunes		1324	1
2c5af040	kx88		7616	3
2c5af040	monternet		1256	1
2c5af040	qlogo		6906	1
2c5af040	qq		80034	13
2c5af040	rackspacecloud		95548	1
2c5af040	sinaimg		44506	2
2c5af040	tencent		6194	1
2c5af040	verisign		8322	3
2c5af040	w3i		1676	1
2cd14428	91		209693	54
2cd14428	admob		15011	1
2cd14428	appads		638683	96
2cd14428	dodur		3830	3
2cd14428	doubleclick		398610	42
2cd14428	flurry		18644	11
2cd14428	google		552891	52
2cd14428	gstatic		30373	1
2cd14428	qlogo		648243	65
2cd14428	qpic		139023	20
2cd14428	qq		236920	60
2d2fd8b9	sogou		21780	1
2dc2a392	apple		17895	13
2dc2a392	heroku		1296	1
2dc2a392	qlogo		124643	16
2dc2a392	qpic		482081	28
2dc2a392	qq		921219	167
2dc2a392	sohu		39781	1
2e41e600	dianxinos		4663	3
2e41e600	dxsvr		24054	11
2e41e600	google-analytics		2176	1
2e41e600	kfkx		11590	8
2e41e600	lbesec		1389	1
2e41e600	monternet		1173	1
2e41e600	puata		31689	6
2e41e600	rrimg		30575	1
2e41e600	sonymobile		2473	1
2e41e600	umeng		6337	5
2f50ceb1	360		1163	1
2f50ceb1	moji001		32679	11
2f50ceb1	monternet		1159	1
2fa2998c	360		6197	5
2fa2998c	fluentmobile		2576	2
2fa2998c	j2play		1451	1
2fa2998c	popcap		4902	1
2fa2998c	qlogo		111355	26
2fa2998c	qq		3628829	209
30edbb4a	apple		129050	3
31020d55	:ummy		1697	1
31020d55	netqin		4694	2
31020d55	renren		58143	12
31020d55	rrimg		164991	1
31020d55	sina		57472	14
31020d55	sinaimg		5204	1
31020d55	xnimg		339749	19
312612af	apple		83315	11
312612af	baidu		391217	46
312612af	dict		15576	4
312612af	edgesuite		63369	1
312612af	google		22182	14
312612af	ifeng		417338	89
312612af	it168		5129	3
312612af	itunes		3717	1
312612af	sina		85423	8
312612af	sinaimg		438599	55
312612af	umeng		58416	29
312612af	wochacha		1291	1
312612af	xh888		47951	4
312612af	zhiphone		4235	1
319b7db6	adview		1834048	457
319b7db6	baidu		354310	46
319b7db6	baidu-2img		218246	35
319b7db6	baidu-3img		20176	4
319b7db6	baidu-img		6712	2
319b7db6	domob		266090	28
319b7db6	douban		5678	2
319b7db6	google-analytics		4096	1
319b7db6	nau		110489	4
319b7db6	sina		442400	28
319b7db6	sonyericsson		12736	1
319b7db6	sonymobile		54225	4
319b7db6	xnimg		248944	3
319b7db6	xnpic		358232	3
31b31f61	10086		3472	1
31b31f61	126		276702	1
31b31f61	163		1430406	124
31b31f61	alicdn		13001	1
31b31f61	autobloglink		1426	1
31b31f61	linezing		1498	1
31b31f61	monternet		1312	1
31b31f61	netease		423535	7
31b31f61	qlogo		23908	5
31b31f61	qpic		149068	6
31b31f61	qq		659533	27
31b31f61	taobao		5732952	651
31b31f61	taobaocdn		8115806	104
31b31f61	tbcdn		7728	1
31b31f61	tx8cdn		398927	11
3208525b	moji001		3137	1
325a08e2	apple		2077	1
325a08e2	flurry		1376	1
325a08e2	inmobi		6444	2
325a08e2	inmobicdn		6147	1
325a08e2	monternet		1318	1
3272c9d5	360		24125	8
3272c9d5	3g		32528	3
3272c9d5	adwhirl		4986	6
3272c9d5	baidu		247303	42
3272c9d5	baidu-1img		40260	10
3272c9d5	dianxinos		4585	4
3272c9d5	dxsvr		1528	1
3272c9d5	flurry		1970	3
3272c9d5	google		1389	1
3272c9d5	hidroid		0	1
3272c9d5	hulamobile		6111	2
3272c9d5	qq		2156	1
3272c9d5	sogou		266178	20
3272c9d5	soso		31651	1
3272c9d5	umeng		26594	35
33165146	baidu		55757	14
33165146	cnzz		127960	96
33165146	uc		13822	3
33165146	ucweb		53925	8
33165146	zongheng		604988	135
339b984c	360		26970	12
339b984c	3g		155023	19
339b984c	airpush		71497	50
339b984c	baidu		275168	73
339b984c	baidu-2img		32523	3
339b984c	baidu-3img		47249	8
339b984c	baidu-img		322127	23
339b984c	gtimg		1590	2
339b984c	hjweichang		23870	1
339b984c	qq		384674	75
339b984c	sina		13063	2
339b984c	sinaimg		2047	1
339b984c	snyu		1690	2
339b984c	uc		33135	3
339b984c	ucweb		164753	5
34a688d0	10086		3739	1
34a688d0	monternet		65251	2
34a688d0	sina		1174553	80
34a688d0	sinaimg		115404	11
35423fd1	amazonaws		2088	4
35423fd1	apple		3387	1
35423fd1	flurry		4605	2
35423fd1	qpic		5961	1
35423fd1	qq		187462	17
35423fd1	sogou		185509	6
35423fd1	topfreegames		2985	1
35423fd1	uc		1768	1
35423fd1	ucweb		14830	1
359ceb9c	apple		103417	25
359ceb9c	edgesuite		828028	1
359ceb9c	iask		701223	44
359ceb9c	itunes		1426	1
359ceb9c	qlogo		5459	1
359ceb9c	qpic		305185	16
359ceb9c	qq		99929	14
359ceb9c	sina		4436791	568
359ceb9c	sinaimg		1291089	157
359ceb9c	sogou		23954	2
35f9c717	acs86		1248	1
35f9c717	baidu		58529	12
35f9c717	baidu-2img		38564	3
35f9c717	baidu-img		21231	2
35f9c717	ifeng		212283	39
35f9c717	monternet		1159	1
35f9c717	uc		2210	1
35f9c717	ucweb		15369	4
36621312	apple		53298	1
36621312	monternet		1247	1
36621312	qlogo		8633	1
36621312	qpic		104107	9
36621312	qq		607105	85
36621312	uc		4994	2
36621312	ucweb		116225	7
36621312	yagasp		5636	2
36674e00	admob		9928	6
36674e00	apple		53485	1
36674e00	google		72759	4
36674e00	gtimg		3131	1
36674e00	qpic		3626	1
36674e00	qq		1013570	119
36d545ed	52youtu		2721	3
36d545ed	56		29224	19
36d545ed	admob		17693	1
36d545ed	apple		17159	8
36d545ed	baidu		3779	9
36d545ed	doubleclick		102626	7
36d545ed	google		7984	6
36d545ed	kuwo		60207	13
36d545ed	meitudata		2120	2
36d545ed	mobmore		15846	2
36d545ed	moji001		13154	7
36d545ed	moji002		3190	2
36d545ed	qiyipic		4499	1
36d545ed	qq		5124	3
36d545ed	rrimg		248329	14
36d545ed	sina		606903	71
36d545ed	sinaimg		234407	25
36d545ed	tdimg		5196	1
36d545ed	umeng		1732	1
36d545ed	yahooapis		3827	1
37fea041	163		6654	3
37fea041	360buy		21806	3
37fea041	7thg		5903	5
37fea041	admob		23474	2
37fea041	adsage		171780	54
37fea041	adsmogo		489205	422
37fea041	adwhirl		19457	16
37fea041	apple		116229	14
37fea041	casee		2930792	312
37fea041	doubleclick		87342	4
37fea041	himogo		5190	5
37fea041	inmobi		39566	25
37fea041	inmobicdn		34500	4
37fea041	pubsage		70233	3
37fea041	qq		1320	1
37fea041	wochacha		24494	4
37fea041	ydon		7556	2
38500f02	monternet		1337	1
38d93e05	apple		53365	1
38d93e05	baidu		309570	49
38d93e05	imrworldwide		7259	3
38d93e05	lbs8		132730	12
38d93e05	qlogo		15226	4
38d93e05	qpic		61627	5
38d93e05	qq		321136	30
38d93e05	sina		589103	39
38d93e05	sinaimg		219694	37
38d93e05	umeng		3567	2
38d93e05	vpon		176492	10
38d93e05	wrating		10983	3
38f1a30a	91		9240	5
38f1a30a	flurry		7288	4
38f1a30a	google-analytics		19000	5
38f1a30a	ijinshan		244537	27
38f1a30a	monternet		1268	1
39b0037a	10086		2957	1
39b0037a	3gogo		4183	2
39b0037a	adwhirl		1591	1
39b0037a	apple		100264	14
39b0037a	baidu		69306	16
39b0037a	edgesuite		62924	1
39b0037a	flurry		5621	2
39b0037a	gw		56385	24
39b0037a	itunes		1337	1
39b0037a	sina		52822	10
39b0037a	sinaimg		26045	3
39b0037a	sinajs		99369	10
39b0037a	umeng		1962	1
39b0037a	wenhua		8849	6
39b0037a	yixintouzi		4561	3
3a2b2f10	baidu		560352	81
3a2b2f10	flurry		957	1
3a2b2f10	gtimg		6700	2
3a2b2f10	moji001		63930	27
3a2b2f10	qq		354260	57
3a3bd30d	apple		10611	2
3a3bd30d	limasky		11336	8
3a3bd30d	verisign		2904	1
3a658651	apple		23146	2
3a658651	doubleclick		4727	1
3a658651	monternet		2664	2
3a658651	qlogo		21168	3
3a658651	qpic		8078	1
3a658651	qq		4935	4
3a658651	sina		49407	9
3a658651	sinaimg		25056	1
3a658651	verisign		18257	4
3a7ebd0c	kuwo		7026	5
3abf3c18	337		9303	14
3abf3c18	365rili		21351	28
3abf3c18	adsage		44467	34
3abf3c18	gtimg		54036	14
3abf3c18	moji001		28748	14
3abf3c18	qq		408545	31
3abf3c18	soso		113201	13
3abf3c18	synacast		14651	10
3abf3c18	ttpod		44761	14
3abf3c18	uc		18622	3
3abf3c18	ucweb		14462	3
3abf3c18	umeng		26800	19
3af186e4	91		45509	8
3af186e4	9game		7321	1
3af186e4	aoneserver		1318627	912
3af186e4	baidu		168743	7
3af186e4	etouch		14739	7
3af186e4	gtimg		34687	5
3af186e4	hidroid		987	1
3af186e4	qpic		11178	2
3af186e4	qq		330868	67
3af186e4	uc		51155	9
3af186e4	ucweb		8855	3
3af186e4	umeng		1310	1
3af186e4	youhui		2222	2
3bce6d0c	qq		3929	3
3c3b8fd4	youku		15460	2
3c88b2c5	qq		4816	4
3c905c8b	365rili		1376	2
3c905c8b	3g		16258	3
3c905c8b	3gogo		7609	3
3c905c8b	blovestorm		1341	1
3c905c8b	dianping		2010	1
3c905c8b	ip138		48560	5
3c905c8b	moji001		36879	14
3c905c8b	sina		6654	4
3c905c8b	sinaimg		31184	1
3c905c8b	uc		1590	1
3d45f31c	315che		20518	17
3d45f31c	apple		6828	2
3d45f31c	baidu		339184	73
3d45f31c	baidu-img		11198	1
3d45f31c	cnzz		7548	2
3d45f31c	google-analytics		23311	2
3d45f31c	ifeng		757992	82
3d45f31c	ifengimg		509382	9
3d45f31c	imocha		177447	72
3d45f31c	sohu		51806	1
3d45f31c	xcar		135056	14
3d45f31c	xcarimg		32953	5
3deeb0c4	okooo		114071	14
3deeb0c4	qpic		21485	2
3deeb0c4	qq		1896898	66
3deeb0c4	uc		3152741	142
3deeb0c4	ucweb		150708	20
3e4b6f65	amazonaws		2928	1
3e4b6f65	apple		7369	1
3e4b6f65	localytics		5274	3
3e4b6f65	monternet		1330	1
3ed5d8cb	337		8656	7
3ed5d8cb	61		7022	5
3ed5d8cb	91		53889	11
3ed5d8cb	91rb		315431	7
3ed5d8cb	admob		30236	1
3ed5d8cb	adsage		28712	7
3ed5d8cb	apple		39227	7
3ed5d8cb	edgesuite		5105	1
3ed5d8cb	flurry		61508	17
3ed5d8cb	gamevibe		4274	4
3ed5d8cb	google		438857	4
3ed5d8cb	handygames		0	1
3ed5d8cb	itunes		0	1
3ed5d8cb	meitu		5857	5
3ed5d8cb	meitudata		2122	2
3ed5d8cb	playfirst		2292	3
3ed5d8cb	pubsage		97276	6
3ed5d8cb	punchbox		18235	11
3ed5d8cb	qlogo		6172	1
3ed5d8cb	qq		298472	43
3ed5d8cb	sharedegg		2686	2
3ed5d8cb	tapjoyads		1455	1
3ed5d8cb	ttpod		26059	9
3ed5d8cb	umeng		8370	5
3ed5d8cb	verisign		12584	4
3ed5d8cb	yahooapis		2063	1
3f59cc32	admob		22414	2
3f59cc32	doubleclick		89066	15
3f59cc32	flurry		2566	2
3f59cc32	google		1842539	126
3f59cc32	googlesyndication		2494	1
3f59cc32	gstatic		21830	13
3f59cc32	mop		371697	19
3f59cc32	mopimg		91688	10
3f59cc32	wenhua		1355	1
400a6f2a	rrimg		26332	2
400a6f2a	sina		83744	8
400a6f2a	sinaimg		56368	10
400a6f2a	uc		20209	10
400a6f2a	ucweb		983570	88
40388b5d	apple		245977	37
40388b5d	sina		7844	1
40388b5d	weather		1119	1
409093b7	apple		56892	10
409093b7	monternet		1310	1
409093b7	sina		16669	9
40983896	10086		113610	5
40983896	gtimg		12770	5
40983896	qq		1015770	75
40983896	sina		18914	2
410e3523	apple		77090	19
410e3523	meitu		933	1
410e3523	meitudata		62415	4
410e3523	qlogo		112368	13
410e3523	qq		187570	72
410e3523	taobao		46468	9
410e3523	taobaocdn		350694	13
410e3523	umeng		1661	1
417b4bfb	apple		75806	1
417b4bfb	baidu		167161	29
417b4bfb	baidu-img		61809	15
417b4bfb	edgesuite		824140	1
417b4bfb	itunes		1300	1
417b4bfb	ucweb		2552	1
41b60f42	apple		6156	1
41b60f42	yahooapis		1867	1
4260306e	adsame		182325	5
4260306e	ahzer		133393	23
4260306e	alimama		4129904	107
4260306e	aliyun		218876	13
4260306e	allyes		41433	11
4260306e	apple		61780	3
4260306e	baidu		179812	16
4260306e	cnzz		12476	3
4260306e	google		86764	12
4260306e	google-analytics		21435	2
4260306e	gtimg		2103	1
4260306e	icast		89845	20
4260306e	jiatx		449195	10
4260306e	limgs		9906194	155
4260306e	linezing		18549	2
4260306e	mmcdn		389223	15
4260306e	mmstat		16708	7
4260306e	monternet		1318	1
4260306e	qq		7670	2
4260306e	sina		184502	44
4260306e	sinaimg		509342	45
4260306e	sinajs		463487	40
4260306e	soufun		189647	23
4260306e	soufunimg		49865	5
4260306e	tanx		953369	195
4260306e	taobao		254352	82
4260306e	taobaocdn		2601823	132
4260306e	tbcdn		41553	6
4260306e	weather		19692	5
4260306e	yahoo		1359661	166
4260306e	yahooapis		85014	4
4260306e	yimg		1283788	116
4260306e	zimgs		47499	6
42682e68	apple		55265	2
42682e68	google		2765	3
42682e68	mzstatic		219785	22
42682e68	qq		5011	4
42682e68	uc		72966	14
42682e68	ucweb		170007	11
42682e68	waptw		3444	2
42f04661	gtimg		9616	1
42f04661	qq		8557	7
43097cea	apple		20571	4
43097cea	baidu		54572	20
43097cea	baidu-2img		14325	3
43097cea	baidu-img		111237	60
43097cea	edgesuite		1658531	2
43097cea	itunes		2600	2
43097cea	localytics		3440	2
43097cea	monternet		1264	1
43097cea	qlogo		3132947	250
43097cea	qpic		451821	26
43097cea	qq		254769	51
43097cea	taobao		909400	261
43097cea	taobaocdn		145590	15
43097cea	uc		2724	1
43097cea	ucweb		126126	6
43097cea	verisign		22226	8
43097cea	weather		8784	2
43124123	apple		53325	1
43124123	qpic		7056	1
43124123	qq		337734	35
43124123	rrimg		44924	5
432ea342	apple		76296	2
432ea342	monternet		1256	1
432ea342	qq		31952	6
432ea342	yahooapis		3938	1
4376b1f4	apple		53365	1
4376b1f4	monternet		1266	1
4376b1f4	sina		10884	5
4376b1f4	uc		2514	1
4376b1f4	ucweb		15523	3
4423e107	baidu		40376	9
4423e107	baidu-2img		14118	2
4423e107	cmread		1060342	30
4423e107	google-analytics		40177	27
